KP01_01,KP01_02,KP01_03,KP01_04,KP01_05,KP05_01,KP05_02,KP05_03,KP05_04,KP05_05,KP06_01,KP06_02,KP06_03,KP06_04,KP06_05,KP02_01,KP02_02,KP02_03,KP02_04,KP02_05,KP03_01,KP03_02,KP03_03,KP03_04,KP03_05,KP04_01,KP04_02,KP04_03,KP04_04,KP04_05
5,6,4,4,6,6,5,6,7,6,7,5,4,6,7,6,7,7,5,6,7,6,7,7,7,7,7,5,7,
7,4,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,5,7,7,6,7,7,7,6,6,7,7,4,7,7,6,7,7,7,7,7,7,6,6,5,6,7
5,6,7,7,7,6,7,7,7,7,5,5,6,6,7,6,7,5,6,6,7,6,6,5,5,5,6,6,5,7
7,7,7,7,7,6,7,7,7,7,5,5,5,5,7,6,7,7,6,7,7,7,7,7,,6,6,6,6,7
6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7
6,6,6,6,5,6,6,6,6,5,7,6,7,7,5,4,5,4,4,4,6,6,6,7,5,5,6,6,4,4
5,5,5,5,6,4,4,4,4,5,3,4,3,4,5,5,5,6,6,6,5,5,5,5,5,4,5,5,5,6
6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,7,6,6,6,7
6,7,5,6,7,6,5,7,6,2,4,4,3,2,6,6,7,7,7,5,6,6,4,7,4,7,7,7,7,7
6,5,5,6,5,6,6,6,6,5,3,3,3,3,4,6,7,7,7,5,7,6,7,6,7,5,5,5,5,7
5,7,5,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,7,7,7,6,6,6,6,6,7,6
